Lotid,Exporter Clean,Initial Stock,Entry Date,Variety
24A8218609,Agrolatina,1040,02/11/2025,SWEET GLOBE
24A8218609,Agrolatina,560,02/11/2025,SWEET GLOBE
24A8347870,Agrolatina,1360,02/17/2025,IVORY
24A8347870,Agrolatina,240,02/17/2025,IVORY
24A8348855,Agrolatina,960,02/17/2025,SWEET GLOBE
24A8348855,Agrolatina,640,02/17/2025,SWEET GLOBE
24A8349609,Agrolatina,1280,01/09/2025,SWEET GLOBE
24A8349609,Agrolatina,320,01/09/2025,SWEET GLOBE
24A8367095,Agrolatina,1040,02/11/2025,SWEET GLOBE
24A8367095,Agrolatina,560,02/11/2025,SWEET GLOBE
24A8367984,Agrolatina,960,02/17/2025,SWEET GLOBE
24A8367984,Agrolatina,640,02/17/2025,SWEET GLOBE
24A8368527,Agrolatina,1280,02/10/2025,SWEET FAVORS
24A8368527,Agrolatina,320,02/10/2025,SWEET FAVORS
24A8370571,Agrolatina,1330,02/05/2025,SWEET GLOBE
24A8370571,Agrolatina,95,02/05/2025,SWEET GLOBE
24A8370571,Agrolatina,475,02/05/2025,SWEET GLOBE
24A8409360,Agrolatina,880,03/10/2025,TIMCO
24A8409360,Agrolatina,720,03/10/2025,TIMCO
24A8436930,Agrolatina,80,03/04/2025,ALLISON
24A8436930,Agrolatina,880,03/04/2025,ALLISON
24A8436930,Agrolatina,160,03/04/2025,TIMCO
24A8436930,Agrolatina,480,03/04/2025,TIMCO
24A8443538,Agrolatina,640,02/11/2025,SWEET GLOBE
24A8443538,Agrolatina,960,02/11/2025,SWEET GLOBE
24A8453104,Agrolatina,950,02/06/2025,SWEET GLOBE
24A8453104,Agrolatina,950,02/06/2025,SWEET GLOBE
24A8453188,Agrolatina,1200,03/04/2025,SWEET GLOBE
24A8453188,Agrolatina,400,03/04/2025,SWEET GLOBE
24A8453336,Agrolatina,960,02/11/2025,SWEET GLOBE
24A8453336,Agrolatina,640,02/11/2025,SWEET GLOBE
24A8460525,Agrolatina,960,02/04/2025,SWEET GLOBE
24A8460525,Agrolatina,640,02/04/2025,SWEET GLOBE
24A8462528,Agrolatina,1280,03/04/2025,SWEET GLOBE
24A8462528,Agrolatina,320,03/04/2025,SWEET GLOBE
24A8482118,Agrolatina,1360,01/03/2025,SWEET GLOBE
24A8482118,Agrolatina,240,01/03/2025,SWEET GLOBE
24A8483515,Agrolatina,720,02/10/2025,ALLISON
24A8483515,Agrolatina,560,02/10/2025,ALLISON
24A8483515,Agrolatina,240,02/10/2025,TIMCO
24A8483515,Agrolatina,80,02/10/2025,TIMCO
24A8494094,Agrolatina,1520,03/09/2025,IVORY
24A8494094,Agrolatina,80,03/09/2025,IVORY
24A8496034,Agrolatina,1200,02/11/2025,SWEET GLOBE
24A8496034,Agrolatina,400,02/11/2025,SWEET GLOBE
24A8497323,Agrolatina,1120,02/11/2025,IVORY
24A8497323,Agrolatina,240,02/11/2025,IVORY
24A8497323,Agrolatina,240,02/11/2025,IVORY
24A8497961,Agrolatina,1280,03/10/2025,TIMCO
24A8497961,Agrolatina,320,03/10/2025,TIMCO
24A8498090,Agrolatina,1600,01/19/2025,ALLISON
24A8500751,Agrolatina,1120,03/07/2025,TIMCO
24A8500751,Agrolatina,480,03/07/2025,TIMCO
24A8525380,Agrolatina,1280,02/17/2025,IVORY
24A8525380,Agrolatina,160,02/17/2025,IVORY
24A8525380,Agrolatina,160,02/17/2025,IVORY
24A8526535,Agrolatina,1520,02/06/2025,SWEET FAVORS
24A8526535,Agrolatina,380,02/06/2025,SWEET FAVORS
24A8564988,Agrolatina,1360,02/10/2025,SWEET FAVORS
24A8564988,Agrolatina,240,02/10/2025,SWEET FAVORS
24A8580783,Agrolatina,1360,03/10/2025,TIMCO
