Lotid,Chargedescr,Chgamt,Chgqnt,Initial Stock,Cost per Box,Exporter Clean,Exporter Country,Season
0001-0010989,CHARGE LIQUIDATION ADJUST,669.84,0.0,1700,0.3940235294117647,ECO,Peru,2023-2024
0001-0010989,COLD STORAGE CHARGE,880.0,1700.0,1700,0.5176470588235295,ECO,Peru,2023-2024
0001-0010989,COLD TREATMENT FEES,237.0,0.0,1700,0.13941176470588235,ECO,Peru,2023-2024
0001-0010989,COMMISSION,2432.56,121627.25,1700,1.4309176470588234,ECO,Peru,2023-2024
0001-0010989,COMMISSION LIQUIDATION ADJUST,-30.89,0.0,1700,-0.01817058823529412,ECO,Peru,2023-2024
0001-0010989,CUSTOMS CHARGE,278.13,0.0,1700,0.16360588235294118,ECO,Peru,2023-2024
0001-0010989,HANDLING CHARGES,36.0,0.0,1700,0.021176470588235293,ECO,Peru,2023-2024
0001-0010989,INSPECTIONS,158.0,1700.0,1700,0.09294117647058824,ECO,Peru,2023-2024
0001-0010989,YARD DRAYAGE FEES,615.0,0.0,1700,0.36176470588235293,ECO,Peru,2023-2024
0001-0010998,CHARGE LIQUIDATION ADJUST,705.49,0.0,1700,0.41499411764705885,ECO,Peru,2023-2024
0001-0010998,COLD STORAGE CHARGE,880.0,1700.0,1700,0.5176470588235295,ECO,Peru,2023-2024
0001-0010998,COLD TREATMENT FEES,237.0,0.0,1700,0.13941176470588235,ECO,Peru,2023-2024
0001-0010998,COMMISSION,2432.54,121626.35,1700,1.4309058823529412,ECO,Peru,2023-2024
0001-0010998,COMMISSION LIQUIDATION ADJUST,-30.92,0.0,1700,-0.018188235294117647,ECO,Peru,2023-2024
0001-0010998,CUSTOMS CHARGE,278.13,0.0,1700,0.16360588235294118,ECO,Peru,2023-2024
0001-0010998,INSPECTIONS,158.0,1700.0,1700,0.09294117647058824,ECO,Peru,2023-2024
0001-0010998,YARD DRAYAGE FEES,615.0,0.0,1700,0.36176470588235293,ECO,Peru,2023-2024
0001-0011035,CHARGE LIQUIDATION ADJUST,-760.23,0.0,1800,-0.42235,ECO,Peru,2023-2024
0001-0011035,COMMISSION,2682.43,134119.9,1800,1.490238888888889,ECO,Peru,2023-2024
0001-0011035,COMMISSION LIQUIDATION ADJUST,-0.64,0.0,1800,-0.00035555555555555557,ECO,Peru,2023-2024
0001-0011035,CROSS DOCK HANDLING FEES,400.0,0.0,1800,0.2222222222222222,ECO,Peru,2023-2024
0001-0011035,CUSTOMS CHARGE,583.25,0.0,1800,0.3240277777777778,ECO,Peru,2023-2024
0001-0011035,EXPEDITOR,240.0,0.0,1800,0.13333333333333333,ECO,Peru,2023-2024
0001-0011035,FREIGHT FLAT RATE,1500.0,0.0,1800,0.8333333333333334,ECO,Peru,2023-2024
0001-0011035,INSPECTIONS,823.2,1800.0,1800,0.45733333333333337,ECO,Peru,2023-2024
0001-0011035,YARD DRAYAGE FEES,100.0,0.0,1800,0.05555555555555555,ECO,Peru,2023-2024
0001-0011045,CHARGE LIQUIDATION ADJUST,1072.16,0.0,1800,0.5956444444444445,ECO,Peru,2023-2024
0001-0011045,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0011045,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011045,COMMISSION,2495.1400000000003,124755.95999999999,1800,1.3861888888888891,ECO,Peru,2023-2024
0001-0011045,COMMISSION LIQUIDATION ADJUST,0.66,0.0,1800,0.00036666666666666667,ECO,Peru,2023-2024
0001-0011045,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0011045,HANDLING CHARGES,82.0,0.0,1800,0.04555555555555556,ECO,Peru,2023-2024
0001-0011045,INSPECTIONS,158.0,1800.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0011045,PACKING MATERIALS,48.0,5400.0,1800,0.02666666666666667,ECO,Peru,2023-2024
0001-0011045,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0011049,CHARGE LIQUIDATION ADJUST,1187.61,0.0,1800,0.6597833333333333,ECO,Peru,2023-2024
0001-0011049,COLD STORAGE CHARGE,800.0,1800.0,1800,0.4444444444444444,ECO,Peru,2023-2024
0001-0011049,COLD TREATMENT FEES,237.0,0.0,1800,0.13166666666666665,ECO,Peru,2023-2024
0001-0011049,COMMISSION,2513.2,125658.0,1800,1.396222222222222,ECO,Peru,2023-2024
0001-0011049,COMMISSION LIQUIDATION ADJUST,-0.72,0.0,1800,-0.00039999999999999996,ECO,Peru,2023-2024
0001-0011049,CUSTOMS CHARGE,281.25,0.0,1800,0.15625,ECO,Peru,2023-2024
0001-0011049,INSPECTIONS,158.0,1800.0,1800,0.08777777777777777,ECO,Peru,2023-2024
0001-0011049,YARD DRAYAGE FEES,615.0,0.0,1800,0.3416666666666667,ECO,Peru,2023-2024
0001-0011056,CHARGE LIQUIDATION ADJUST,438.32,0.0,1800,0.2435111111111111,ECO,Peru,2023-2024
0001-0011056,COMMISSION,2082.9,104144.73,1800,1.1571666666666667,ECO,Peru,2023-2024
0001-0011056,COMMISSION LIQUIDATION ADJUST,-10.21,0.0,1800,-0.005672222222222223,ECO,Peru,2023-2024
0001-0011056,CROSS DOCK HANDLING FEES,400.0,0.0,1800,0.2222222222222222,ECO,Peru,2023-2024
0001-0011056,CUSTOMS CHARGE,583.25,0.0,1800,0.3240277777777778,ECO,Peru,2023-2024
0001-0011056,FREIGHT FLAT RATE,1500.0,0.0,1800,0.8333333333333334,ECO,Peru,2023-2024
0001-0011056,INSPECTIONS,823.2,1800.0,1800,0.45733333333333337,ECO,Peru,2023-2024
0001-0011056,YARD DRAYAGE FEES,100.0,0.0,1800,0.05555555555555555,ECO,Peru,2023-2024
0001-0011069,CHARGE LIQUIDATION ADJUST,-806.76,0.0,1800,-0.4482,ECO,Peru,2023-2024
0001-0011069,COMMISSION,2025.0,101250.0,1800,1.125,ECO,Peru,2023-2024
0001-0011069,COMMISSION LIQUIDATION ADJUST,-0.72,0.0,1800,-0.00039999999999999996,ECO,Peru,2023-2024
0001-0011069,CROSS DOCK HANDLING FEES,400.0,0.0,1800,0.2222222222222222,ECO,Peru,2023-2024
0001-0011069,CUSTOMS CHARGE,583.25,0.0,1800,0.3240277777777778,ECO,Peru,2023-2024
0001-0011069,EXPEDITOR,240.0,0.0,1800,0.13333333333333333,ECO,Peru,2023-2024
0001-0011069,FREIGHT FLAT RATE,1500.0,0.0,1800,0.8333333333333334,ECO,Peru,2023-2024
0001-0011069,INSPECTIONS,823.2,1800.0,1800,0.45733333333333337,ECO,Peru,2023-2024
0001-0011069,YARD DRAYAGE FEES,100.0,0.0,1800,0.05555555555555555,ECO,Peru,2023-2024
0001-0011104,CHARGE LIQUIDATION ADJUST,664.85,0.0,1800,0.36936111111111114,ECO,Peru,2023-2024
0001-0011104,COMMISSION,2629.8,131490.0,1800,1.461,ECO,Peru,2023-2024
